iter	Passed	Remaining
400	17700	26440
401	17724	26366
402	17767	26320
403	17789	26243
404	17831	26196
405	17866	26139
406	17894	26072
407	17934	26023
408	17987	25991
409	18030	25946
410	18059	25880
411	18092	25821
412	18133	25773
413	18155	25697
414	18175	25621
415	18219	25576
416	18270	25543
417	18321	25510
418	18369	25472
419	18421	25439
420	18455	25382
421	18503	25343
422	18530	25277
423	18555	25206
424	18603	25169
425	18655	25136
426	18679	25066
427	18703	24996
428	18729	24929
429	18777	24891
430	18803	24823
431	18850	24785
432	18886	24730
433	18913	24666
434	18941	24602
435	18970	24539
436	18997	24475
437	19024	24410
438	19059	24356
439	19080	24284
440	19102	24213
441	19123	24142
442	19145	24072
443	19187	24027
444	19217	23968
445	19265	23930
446	19310	23889
447	19337	23826
448	19372	23772
449	19416	23731
450	19446	23671
451	19475	23611
452	19503	23550
453	19524	23480
454	19558	23427
455	19590	23371
456	19631	23326
457	19653	23258
458	19694	23213
459	19735	23167
460	19776	23122
461	19817	23077
462	19850	23022
463	19888	22974
464	19912	22909
465	19944	22855
466	19974	22797
467	20008	22744
468	20030	22678
469	20070	22633
470	20092	22566
471	20126	22514
472	20167	22469
473	20187	22402
474	20223	22351
475	20246	22287
476	20280	22236
477	20330	22202
478	20361	22147
479	20390	22089
480	20413	22025
481	20453	21981
482	20482	21924
483	20509	21865
484	20535	21805
485	20557	21741
486	20601	21701
487	20647	21663
488	20677	21607
489	20717	21563
490	20752	21513
491	20780	21455
492	20814	21405
493	20855	21361
494	20891	21313
495	20919	21256
496	20940	21193
497	20969	21137
498	20990	21074
499	21011	21011
500	21032	20948
501	21059	20891
502	21092	20841
503	21114	20779
504	21154	20735
505	21188	20686
506	21224	20638
507	21274	20604
508	21300	20546
509	21331	20495
510	21355	20436
511	21401	20398
512	21424	20339
513	21459	20290
514	21481	20230
515	21523	20188
516	21570	20151
517	21605	20104
518	21627	20043
519	21649	19984
520	21670	19923
521	21692	19864
522	21733	19822
523	21780	19785
524	21808	19731
525	21849	19689
526	21877	19635
527	21904	19581
528	21926	19522
529	21954	19469
530	21975	19410
531	22015	19366
532	22036	19308
533	22057	19248
534	22085	19195
535	22125	19153
536	22147	19095
537	22189	19054
538	22218	19003
539	22264	18966
540	22315	18933
541	22345	18882
542	22379	18834
543	22423	18796
544	22452	18744
545	22472	18686
546	22513	18644
547	22557	18605
548	22580	18549
549	22620	18507
550	22667	18470
551	22695	18419
552	22738	18379
553	22780	18339
554	22802	18282
555	22836	18236
556	22869	18188
557	22891	18132
558	22913	18076
559	22953	18034
560	22982	17984
561	23003	17928
562	23043	17886
563	23077	17840
564	23105	17789
565	23127	17733
566	23155	17682
567	23176	17627
568	23197	17571
569	23242	17533
570	23291	17499
571	23317	17447
572	23353	17403
573	23381	17353
574	23411	17303
575	23445	17258
576	23474	17209
577	23495	17154
578	23523	17104
579	23550	17053
580	23574	17000
581	23614	16960
582	23636	16906
583	23656	16851
584	23696	16809
585	23724	16760
586	23764	16720
587	23797	16674
588	23824	16624
589	23857	16579
590	23880	16526
591	23919	16485
592	23957	16442
593	23986	16394
594	24007	16341
595	24042	16296
596	24069	16247
597	24103	16203
598	24124	16150
599	24152	16101
600	24173	16048
601	24194	15995
602	24224	15949
603	24256	15903
604	24315	15875
605	24342	15826
606	24364	15774
607	24386	15722
608	24408	15670
609	24450	15632
610	24477	15584
611	24506	15536
612	24527	15485
613	24550	15433
614	24573	15383
615	24601	15335
616	24632	15290
617	24677	15253
618	24719	15215
619	24747	15167
620	24775	15120
621	24804	15074
622	24831	15026
623	24859	14979
624	24880	14928
625	24908	14881
626	24943	14838
627	24972	14792
628	24993	14741
629	25028	14699
630	25068	14659
631	25098	14614
632	25129	14569
633	25162	14526
634	25198	14484
635	25245	14448
636	25278	14405
637	25305	14358
638	25329	14309
639	25350	14259
640	25379	14213
641	25415	14172
642	25438	14123
643	25459	14073
644	25493	14031
645	25515	13982
646	25557	13944
647	25580	13895
648	25632	13862
649	25667	13820
650	25688	13771
651	25730	13733
652	25757	13687
653	25785	13642
654	25826	13603
655	25853	13557
656	25886	13514
657	25914	13469
658	25942	13423
659	25980	13384
660	26002	13335
661	26042	13296
662	26083	13258
663	26105	13209
664	26145	13171
665	26166	13122
666	26194	13077
667	26217	13030
668	26241	12983
669	26289	12948
670	26315	12903
671	26352	12862
672	26395	12825
673	26417	12777
674	26446	12733
675	26488	12695
676	26510	12648
677	26537	12603
678	26562	12557
679	26590	12513
680	26633	12475
681	26678	12439
682	26714	12398
683	26741	12354
684	26769	12310
685	26790	12262
686	26818	12218
687	26846	12174
688	26867	12127
689	26897	12084
690	26921	12038
691	26962	12000
692	26993	11958
693	27035	11920
694	27063	11876
695	27104	11838
696	27132	11794
697	27153	11748
698	27194	11710
699	27239	11673
700	27289	11639
701	27322	11598
702	27357	11557
703	27379	11511
704	27421	11474
705	27456	11433
706	27498	11396
707	27519	11349
708	27563	11312
709	27585	11267
710	27629	11230
711	27671	11192
712	27695	11147
713	27733	11108
714	27775	11071
715	27817	11033
716	27851	10992
717	27891	10954
718	27933	10916
719	27966	10875
720	28009	10838
721	28051	10800
722	28079	10757
723	28113	10717
724	28154	10679
725	28188	10638
726	28217	10596
727	28257	10557
728	28309	10523
729	28346	10484
730	28389	10446
731	28431	10409
732	28459	10366
733	28493	10326
734	28536	10288
735	28579	10251
736	28612	10210
737	28668	10177
738	28711	10140
739	28739	10097
740	28776	10058
741	28818	10020
742	28859	9982
743	28887	9939
744	28928	9901
745	28970	9863
746	29010	9825
747	29051	9787
748	29092	9749
749	29132	9710
750	29160	9668
751	29201	9630
752	29243	9592
753	29298	9559
754	29343	9522
755	29383	9483
756	29424	9445
757	29467	9407
758	29508	9369
759	29544	9329
760	29586	9291
761	29627	9253
762	29661	9213
763	29701	9174
764	29741	9136
765	29776	9096
766	29811	9056
767	29851	9017
768	29896	8980
769	29933	8941
770	29976	8903
771	30011	8863
772	30052	8825
773	30093	8787
774	30134	8748
775	30167	8708
776	30207	8669
777	30251	8632
778	30293	8594
779	30335	8556
780	30378	8518
781	30414	8478
782	30456	8440
783	30505	8404
784	30551	8367
785	30587	8327
786	30629	8289
787	30674	8252
788	30709	8212
789	30742	8172
790	30771	8130
791	30812	8092
792	30853	8053
793	30888	8013
794	30933	7976
795	30978	7939
796	31018	7900
797	31057	7861
798	31091	7821
799	31119	7779
800	31159	7741
801	31192	7700
802	31236	7663
803	31286	7627
804	31326	7588
805	31368	7550
806	31410	7512
807	31452	7473
808	31494	7435
809	31541	7398
810	31585	7360
811	31625	7322
812	31666	7283
813	31706	7245
814	31747	7206
815	31789	7168
816	31830	7129
817	31870	7091
818	31913	7052
819	31956	7014
820	31998	6976
821	32039	6937
822	32079	6899
823	32119	6860
824	32161	6822
825	32202	6783
826	32247	6745
827	32297	6709
828	32343	6671
829	32386	6633
830	32429	6595
831	32470	6556
832	32511	6517
833	32555	6479
834	32596	6441
835	32640	6403
836	32684	6365
837	32727	6326
838	32768	6288
839	32809	6249
840	32850	6210
841	32892	6172
842	32935	6133
843	32976	6095
844	33016	6056
845	33057	6017
846	33097	5978
847	33138	5939
848	33179	5901
849	33221	5862
850	33267	5824
851	33328	5789
852	33373	5751
853	33421	5713
854	33468	5676
855	33517	5638
856	33566	5600
857	33613	5563
858	33661	5525
859	33702	5486
860	33748	5448
861	33795	5410
862	33842	5372
863	33884	5333
864	33927	5295
865	33968	5256
866	34009	5217
867	34049	5177
868	34089	5138
869	34129	5099
870	34170	5060
871	34211	5021
872	34257	4983
873	34309	4946
874	34354	4907
875	34397	4869
876	34438	4830
877	34480	4791
878	34524	4752
879	34568	4713
880	34608	4674
881	34657	4636
882	34701	4598
883	34743	4559
884	34785	4520
885	34827	4481
886	34868	4442
887	34910	4403
888	34951	4364
889	34992	4324
890	35033	4285
891	35074	4246
892	35115	4207
893	35157	4168
894	35197	4129
895	35243	4090
896	35293	4052
897	35376	4018
898	35441	3981
899	35484	3942
900	35530	3903
901	35579	3865
902	35627	3827
903	35675	3788
904	35722	3749
905	35763	3710
906	35809	3671
907	35857	3633
908	35901	3594
909	35943	3554
910	35983	3515
911	36023	3475
912	36063	3436
913	36104	3397
914	36146	3357
915	36186	3318
916	36229	3279
917	36274	3240
918	36329	3202
919	36375	3163
920	36417	3123
921	36460	3084
922	36503	3045
923	36547	3006
924	36590	2966
925	36632	2927
926	36685	2888
927	36727	2849
928	36768	2810
929	36809	2770
930	36851	2731
931	36893	2691
932	36938	2652
933	36986	2613
934	37035	2574
935	37081	2535
936	37123	2496
937	37165	2456
938	37207	2417
939	37253	2377
940	37304	2338
941	37353	2299
942	37395	2260
943	37469	2222
944	37516	2183
945	37561	2144
946	37605	2104
947	37646	2065
948	37689	2025
949	37730	1985
950	37771	1946
951	37814	1906
952	37855	1866
953	37898	1827
954	37942	1787
955	37985	1748
956	38031	1708
957	38073	1669
958	38120	1629
959	38162	1590
960	38203	1550
961	38246	1510
962	38294	1471
963	38348	1432
964	38390	1392
965	38434	1352
966	38477	1313
967	38521	1273
968	38562	1233
969	38602	1193
970	38643	1154
971	38690	1114
972	38734	1074
973	38775	1035
974	38817	995
975	38859	955
976	38900	915
977	38964	876
978	39017	836
979	39069	797
980	39122	757
981	39176	718
982	39228	678
983	39279	638
984	39331	598
985	39378	559
986	39419	519
987	39461	479
988	39505	439
989	39548	399
990	39588	359
991	39630	319
992	39671	279
993	39715	239
994	39763	199
995	39805	159
996	39846	119
997	39887	79
998	39930	39
999	39971	0
