iter	Logloss
0	0.6610675294
1	0.6320830283
2	0.5945318369
3	0.566896728
4	0.5371464991
5	0.5026120351
6	0.4811697574
7	0.4573512824
8	0.4383816613
9	0.4236970138
10	0.4033180249
11	0.3851858891
12	0.3711808725
13	0.3478907257
14	0.3290839592
15	0.318657266
16	0.3028500618
17	0.2882874619
18	0.2791418586
19	0.2648870604
20	0.2488690344
21	0.2368881669
22	0.2247969411
23	0.212568848
24	0.2058385993
25	0.1994502292
26	0.188791348
27	0.1783767168
28	0.1734964646
29	0.1681700248
30	0.1638846377
31	0.1553626568
32	0.1468277059
33	0.1393409472
34	0.1327829288
35	0.128551085
36	0.1224922898
37	0.1166156338
38	0.1122254268
39	0.1097478178
40	0.1037702058
41	0.09820958715
42	0.09315425638
43	0.09028631781
44	0.08589563034
45	0.0822862333
46	0.07856376834
47	0.07471770325
48	0.07212075797
49	0.06981095113
50	0.06701907782
51	0.06420436609
52	0.06160350588
53	0.05861463453
54	0.05654761546
55	0.05407643693
56	0.05172310265
57	0.0493741208
58	0.04754261468
59	0.04584716744
60	0.04406491155
61	0.04314307174
62	0.04145029585
63	0.03968734865
64	0.03827756782
65	0.03740208198
66	0.03594255172
67	0.03462195958
68	0.03323632518
69	0.03195746012
70	0.03076937058
71	0.02969101678
72	0.02864494844
73	0.02756782777
74	0.02655209771
75	0.02561169046
76	0.02471544306
77	0.02400273705
78	0.02331528523
79	0.02256076786
80	0.02192016463
81	0.02129806832
82	0.0207713162
83	0.02016444949
84	0.01966712199
85	0.01899721685
86	0.01861575794
87	0.01813678126
88	0.0178249235
89	0.01757648825
90	0.01710225475
91	0.01667284378
92	0.01623527843
93	0.01603856235
94	0.01556586322
95	0.01531027809
96	0.01490079054
97	0.01452284529
98	0.01416414288
99	0.01382780845
100	0.01345664273
101	0.01336611048
102	0.01307781222
103	0.01276575995
104	0.01242683947
105	0.01207984713
106	0.01181583506
107	0.01155838121
108	0.01137805319
109	0.01109271404
110	0.01085645977
111	0.01071818734
112	0.01045830485
113	0.01030481087
114	0.01002431391
115	0.009823113848
116	0.009719491988
117	0.009634534873
118	0.009567516119
119	0.009351210935
120	0.009156459104
121	0.008944571629
122	0.00874798632
123	0.008631684921
124	0.008498474797
125	0.008367000384
126	0.008224352012
127	0.008123039775
128	0.008083079862
129	0.007959641705
130	0.007915625362
131	0.007794417
132	0.007752523108
133	0.007665345564
134	0.007563573864
135	0.007429020466
136	0.007326886727
137	0.007280612373
138	0.007196867771
139	0.007104591392
140	0.007061440031
141	0.006934014214
142	0.006849998432
143	0.006825439708
144	0.006716387593
145	0.006609043859
146	0.006536224631
147	0.006512200317
148	0.006429902261
149	0.006376440064
150	0.006276858135
151	0.006200593924
152	0.006140824162
153	0.006047040227
154	0.006002666359
155	0.005957527581
156	0.005841201033
157	0.005822942602
158	0.005772479034
159	0.005724240065
160	0.005634686565
161	0.005589216952
162	0.005538372544
163	0.005522002277
164	0.00550163515
165	0.005472487893
166	0.005455613282
167	0.005435901316
168	0.00533581998
169	0.005283422905
170	0.005208819832
171	0.0051592608
172	0.005082603163
173	0.005013632764
174	0.004986538326
175	0.004972647716
176	0.004890686565
177	0.004815686888
178	0.004809688466
179	0.004753952249
180	0.004719993039
181	0.004698689365
182	0.004628482706
183	0.004591507407
184	0.00453829317
185	0.004484613876
186	0.004433729543
187	0.00439533741
188	0.00434136451
189	0.004335458637
190	0.004326103263
191	0.004290058494
192	0.004241941183
193	0.004241938635
194	0.00421027703
195	0.004195004137
196	0.004163024441
197	0.004121086215
198	0.004072632455
199	0.004055405409
200	0.004050621155
201	0.00400240255
202	0.003995856538
203	0.00399584409
204	0.003982619813
205	0.003941865483
206	0.003905606176
207	0.003893327538
208	0.003866723188
209	0.003838500126
210	0.003808423555
211	0.003798053292
212	0.003779095084
213	0.003728021203
214	0.003719830695
215	0.003686630101
216	0.003672128421
217	0.003664931952
218	0.003619520776
219	0.003607618234
220	0.003573086045
221	0.003569399935
222	0.003541531036
223	0.003523434771
224	0.003497470372
225	0.003497466705
226	0.003470639471
227	0.003458970964
228	0.003437307829
229	0.003430554156
230	0.003404798491
231	0.003382793926
232	0.003363254504
233	0.003333977638
234	0.003323092367
235	0.003323092367
236	0.003315101976
237	0.003273321583
238	0.003263199848
239	0.003237719071
240	0.003195667524
241	0.003193058302
242	0.003193052951
243	0.003172056122
244	0.003172052946
245	0.003172052946
246	0.003153175291
247	0.003133347503
248	0.003133347503
249	0.003112105028
250	0.00309057568
251	0.003058119257
252	0.003058118091
253	0.003058115392
254	0.003058111636
255	0.003050522279
256	0.003027662557
257	0.003012684106
258	0.003012679176
259	0.002999980607
260	0.00299997848
261	0.00299997848
262	0.002999976125
263	0.002999970842
264	0.002999968091
265	0.002999966668
266	0.002976051436
267	0.002953383822
268	0.002938722393
269	0.002924138933
270	0.002912937357
271	0.002905415191
272	0.002892449428
273	0.002892447365
274	0.002892447365
275	0.002889009361
276	0.00288661968
277	0.002880944512
278	0.002880943209
279	0.002880938852
280	0.002880937547
281	0.002862440891
282	0.002862439881
283	0.002862438872
284	0.002862438872
285	0.002848608886
286	0.002832323783
287	0.002805821049
288	0.002799781364
289	0.002782541041
290	0.002777993939
291	0.00275701056
292	0.002748937536
293	0.002741607005
294	0.002741607005
295	0.002728462447
296	0.002713882466
297	0.002686589702
298	0.002686588727
299	0.002686588727
300	0.002686585654
301	0.002671018221
302	0.002671016613
303	0.002657984129
304	0.002640818805
305	0.002636164999
306	0.002636163418
307	0.002636159114
308	0.002629071762
309	0.002619677241
310	0.00261967426
311	0.002594772703
312	0.002570531465
313	0.002570529986
314	0.002570527844
315	0.002554231091
316	0.002542500451
